#ID = 
#miRNA_ID = Name of targeted human miRNA
#miRNA_ID_LIST = Name of targeted miRNA (miRBase 12.0)
#SPOT_ID = 
ID	miRNA_ID	miRNA_ID_LIST	SPOT_ID
hsa-miR-185	hsa-miR-185	hsa-miR-185/ mmu-miR-185/ rno-miR-185	
hsa-miR-186*	hsa-miR-186*	hsa-miR-186*	
hsa-miR-186	hsa-miR-186	hsa-miR-186/ mmu-miR-186/ rno-miR-186	
hsa-miR-187*	hsa-miR-187*	hsa-miR-187*	
hsa-miR-187	hsa-miR-187	hsa-miR-187/ mmu-miR-187/ rno-miR-187	
hsa-miR-188-3p	hsa-miR-188-3p	hsa-miR-188-3p/ mmu-miR-188-3p	
hsa-miR-188-5p	hsa-miR-188-5p	hsa-miR-188-5p/ mmu-miR-188-5p/ rno-miR-188	
hsa-miR-18a	hsa-miR-18a	hsa-miR-18a	
hsa-miR-18a*	hsa-miR-18a*	hsa-miR-18a*/ mmu-miR-18a*	
hsa-miR-18b	hsa-miR-18b	hsa-miR-18b	
hsa-miR-18b*	hsa-miR-18b*	hsa-miR-18b*	
hsa-miR-190	hsa-miR-190	hsa-miR-190/ mmu-miR-190/ rno-miR-190	
hsa-miR-1908	hsa-miR-1908	hsa-miR-1908	
hsa-miR-190b	hsa-miR-190b	hsa-miR-190b/ mmu-miR-190b	
hsa-miR-191*	hsa-miR-191*	hsa-miR-191*	
hsa-miR-191	hsa-miR-191	hsa-miR-191/ mmu-miR-191/ rno-miR-191	
hsa-miR-192*	hsa-miR-192*	hsa-miR-192*	
hsa-miR-192	hsa-miR-192	hsa-miR-192/ mmu-miR-192/ rno-miR-192	
hsa-miR-193a-3p	hsa-miR-193a-3p	hsa-miR-193a-3p/ mmu-miR-193/ rno-miR-193	
hsa-miR-193a-5p	hsa-miR-193a-5p	hsa-miR-193a-5p	
hsa-miR-193b	hsa-miR-193b	hsa-miR-193b	
hsa-miR-193b*	hsa-miR-193b*	hsa-miR-193b*	
hsa-miR-194*	hsa-miR-194*	hsa-miR-194*	
hsa-miR-194	hsa-miR-194	hsa-miR-194/ mmu-miR-194/ rno-miR-194	
hsa-miR-195*	hsa-miR-195*	hsa-miR-195*	
hsa-miR-195	hsa-miR-195	hsa-miR-195/ mmu-miR-195/ rno-miR-195	
hsa-miR-196a*	hsa-miR-196a*	hsa-miR-196a*/ mmu-miR-196a*/ rno-miR-196a*	
hsa-miR-196a	hsa-miR-196a	hsa-miR-196a/ mmu-miR-196a/ rno-miR-196a	
hsa-miR-196b	hsa-miR-196b	hsa-miR-196b/ mmu-miR-196b/ rno-miR-196b	
hsa-miR-197	hsa-miR-197	hsa-miR-197/ mmu-miR-197	
hsa-miR-198	hsa-miR-198	hsa-miR-198	
hsa-miR-199a-3p/hsa-miR-199b-3p	hsa-miR-199a-3p	hsa-miR-199a-3p/ hsa-miR-199b-3p/ mmu-miR-199a-3p/ mmu-miR-199b/ rno-miR-199a-3p	
hsa-miR-199a-5p	hsa-miR-199a-5p	hsa-miR-199a-5p	
hsa-miR-199b-5p	hsa-miR-199b-5p	hsa-miR-199b-5p	
