#ID = Human_miRNA
#miRNA_ID = miRNA symbol (Human)
#Human_miRBase = miRBase ID (Human)
#SPOT_ID = control
ID	miRNA_ID	Human_miRBase	SPOT_ID
hsa-miR-1539	hsa-miR-1539	MIMAT0007401	
hsa-miR-154-3p	hsa-miR-154-3p	MIMAT0000453	
hsa-miR-154-5p	hsa-miR-154-5p	MIMAT0000452	
hsa-miR-155-3p	hsa-miR-155-3p	MIMAT0004658	
hsa-miR-155-5p	hsa-miR-155-5p	MIMAT0000646	
hsa-miR-1587	hsa-miR-1587	MIMAT0019077	
hsa-miR-15a-3p	hsa-miR-15a-3p	MIMAT0004488	
hsa-miR-15a-5p	hsa-miR-15a-5p	MIMAT0000068	
hsa-miR-15b-3p	hsa-miR-15b-3p	MIMAT0004586	
hsa-miR-15b-5p	hsa-miR-15b-5p	MIMAT0000417	
hsa-miR-16-1-3p	hsa-miR-16-1-3p	MIMAT0004489	
hsa-miR-16-2-3p	hsa-miR-16-2-3p	MIMAT0004518	
hsa-miR-16-5p	hsa-miR-16-5p	MIMAT0000069	
hsa-miR-17-3p	hsa-miR-17-3p	MIMAT0000071	
hsa-miR-17-5p	hsa-miR-17-5p	MIMAT0000070	
hsa-miR-181a-2-3p	hsa-miR-181a-2-3p	MIMAT0004558	
hsa-miR-181a-3p	hsa-miR-181a-3p	MIMAT0000270	
hsa-miR-181a-5p	hsa-miR-181a-5p	MIMAT0000256	
hsa-miR-181b-3p	hsa-miR-181b-3p	MIMAT0022692	
hsa-miR-181b-5p	hsa-miR-181b-5p	MIMAT0000257	
hsa-miR-181c-3p	hsa-miR-181c-3p	MIMAT0004559	
hsa-miR-181c-5p	hsa-miR-181c-5p	MIMAT0000258	
hsa-miR-181d	hsa-miR-181d	MIMAT0002821	
hsa-miR-182-3p	hsa-miR-182-3p	MIMAT0000260	
hsa-miR-182-5p	hsa-miR-182-5p	MIMAT0000259	
hsa-miR-1825	hsa-miR-1825	MIMAT0006765	
hsa-miR-1827	hsa-miR-1827	MIMAT0006767	
hsa-miR-183-3p	hsa-miR-183-3p	MIMAT0004560	
hsa-miR-183-5p	hsa-miR-183-5p	MIMAT0000261	
hsa-miR-184	hsa-miR-184	MIMAT0000454	
hsa-miR-185-3p	hsa-miR-185-3p	MIMAT0004611	
hsa-miR-185-5p	hsa-miR-185-5p	MIMAT0000455	
hsa-miR-186-3p	hsa-miR-186-3p	MIMAT0004612	
hsa-miR-186-5p	hsa-miR-186-5p	MIMAT0000456	
hsa-miR-187-3p	hsa-miR-187-3p	MIMAT0000262	
hsa-miR-187-5p	hsa-miR-187-5p	MIMAT0004561	
hsa-miR-188-3p	hsa-miR-188-3p	MIMAT0004613	
hsa-miR-188-5p	hsa-miR-188-5p	MIMAT0000457	
hsa-miR-18a-3p	hsa-miR-18a-3p	MIMAT0002891	
hsa-miR-18a-5p	hsa-miR-18a-5p	MIMAT0000072	
hsa-miR-18b-3p	hsa-miR-18b-3p	MIMAT0004751	
hsa-miR-18b-5p	hsa-miR-18b-5p	MIMAT0001412	
hsa-miR-1908	hsa-miR-1908	MIMAT0007881	
hsa-miR-1909-3p	hsa-miR-1909-3p	MIMAT0007883	
hsa-miR-1909-5p	hsa-miR-1909-5p	MIMAT0007882	
hsa-miR-190a	hsa-miR-190a	MIMAT0000458	
hsa-miR-190b	hsa-miR-190b	MIMAT0004929	
hsa-miR-191-3p	hsa-miR-191-3p	MIMAT0001618	
hsa-miR-191-5p	hsa-miR-191-5p	MIMAT0000440	
hsa-miR-1910	hsa-miR-1910	MIMAT0007884	
hsa-miR-1911-3p	hsa-miR-1911-3p	MIMAT0007886	
hsa-miR-1911-5p	hsa-miR-1911-5p	MIMAT0007885	
hsa-miR-1912	hsa-miR-1912	MIMAT0007887	
hsa-miR-1913	hsa-miR-1913	MIMAT0007888	
hsa-miR-1914-3p	hsa-miR-1914-3p	MIMAT0007890	
hsa-miR-1914-5p	hsa-miR-1914-5p	MIMAT0007889	
hsa-miR-1915-3p	hsa-miR-1915-3p	MIMAT0007892	
hsa-miR-1915-5p	hsa-miR-1915-5p	MIMAT0007891	
hsa-miR-192-3p	hsa-miR-192-3p	MIMAT0004543	
hsa-miR-192-5p	hsa-miR-192-5p	MIMAT0000222	
hsa-miR-193a-3p	hsa-miR-193a-3p	MIMAT0000459	
hsa-miR-193a-5p	hsa-miR-193a-5p	MIMAT0004614	
hsa-miR-193b-3p	hsa-miR-193b-3p	MIMAT0002819	
hsa-miR-193b-5p	hsa-miR-193b-5p	MIMAT0004767	
hsa-miR-194-3p	hsa-miR-194-3p	MIMAT0004671	
hsa-miR-194-5p	hsa-miR-194-5p	MIMAT0000460	
hsa-miR-195-3p	hsa-miR-195-3p	MIMAT0004615	
hsa-miR-195-5p	hsa-miR-195-5p	MIMAT0000461	
hsa-miR-196a-3p	hsa-miR-196a-3p	MIMAT0004562	
hsa-miR-196a-5p	hsa-miR-196a-5p	MIMAT0000226	
hsa-miR-196b-3p	hsa-miR-196b-3p	MIMAT0009201	
hsa-miR-196b-5p	hsa-miR-196b-5p	MIMAT0001080	
hsa-miR-197-3p	hsa-miR-197-3p	MIMAT0000227	
hsa-miR-197-5p	hsa-miR-197-5p	MIMAT0022691	
